Voltage(V),Current(A),Throttle(%),Temperature(C),Motor RPM
39.55,11.56,22.80,26.03,9024.76
39.55,11.56,22.80,26.03,9120.37
39.55,11.56,22.80,26.03,9113.57
39.55,11.56,22.80,25.42,9140.82
39.55,11.56,21.60,26.03,8863.79
39.90,9.42,16.80,26.03,7473.37
39.90,9.42,16.80,26.03,7638.68
39.90,9.42,16.80,25.42,7700.26
39.90,9.42,16.80,26.03,7792.54
39.90,9.42,16.80,26.03,7806.47
39.90,9.42,16.80,26.03,7957.91
39.90,9.42,16.40,26.03,7958.94
39.90,7.28,16.40,26.03,6711.10
39.90,9.42,16.40,25.42,5524.65
39.90,11.56,16.40,25.42,5507.72
39.90,11.56,16.40,25.42,5548.22
39.90,9.42,16.40,25.42,5727.58
39.90,7.28,16.40,25.42,6107.58
39.90,9.42,16.40,25.42,6184.21
39.90,7.28,16.40,26.03,7188.60
39.90,7.28,16.40,26.03,7219.17
39.90,7.28,19.20,26.03,8168.47
39.90,7.28,19.60,26.03,8720.89
39.55,9.42,20.40,26.03,8815.21
39.55,9.42,20.40,26.03,9158.63
39.55,9.42,20.40,26.03,9467.89
39.55,9.42,21.60,26.03,9688.49
39.55,11.56,22.40,26.03,10351.35
39.55,11.56,22.80,26.64,9169.62
39.55,13.70,22.40,26.64,8434.48
39.55,13.70,20.40,26.64,9540.30
39.55,11.56,21.60,26.64,9947.06
39.90,11.56,21.60,26.64,9612.31
39.90,11.56,21.60,26.64,9945.44
39.55,15.84,22.40,26.03,7949.63
39.55,15.84,23.60,26.64,9177.88
39.55,13.70,23.60,26.64,8822.85
39.55,13.70,21.60,26.64,7964.13
39.55,13.70,22.40,26.64,9201.37
39.55,11.56,20.40,26.64,8991.57
39.55,11.56,21.60,26.64,9125.81
39.55,11.56,21.60,26.64,9372.08
39.55,11.56,24.80,27.25,10130.04
39.55,7.28,7.20,27.25,4653.57
39.55,13.70,30.40,27.86,7730.45
39.55,22.26,32.00,28.46,11246.49
39.55,17.98,32.00,29.68,11217.60
39.55,17.98,32.00,29.68,10897.61
39.55,20.12,32.00,29.68,11083.35
39.55,17.98,32.00,29.68,11160.25
39.55,20.12,32.00,29.68,10860.82
39.55,22.26,37.60,29.68,13668.31
39.55,24.40,43.60,29.68,13766.82
39.20,28.68,46.40,29.68,14563.90
39.20,30.82,47.60,30.29,14211.74
39.20,32.96,48.00,30.29,13974.55
38.85,35.10,48.40,30.29,13847.91
38.85,37.24,48.00,30.29,13810.37
38.85,37.24,48.00,29.68,13735.89
38.85,37.24,48.00,29.68,13653.05
38.85,32.96,47.60,29.68,13686.68
38.85,32.96,47.60,29.68,13674.43
38.85,35.10,47.60,29.68,13659.15
38.85,35.10,47.20,29.07,13490.33
38.85,30.82,37.60,29.07,12125.51
38.85,26.54,36.00,28.46,11707.47
38.85,24.40,36.00,28.46,11550.40
38.85,22.26,36.00,27.86,11678.39
38.85,22.26,35.60,27.86,11496.09
39.20,15.84,18.40,27.86,8454.31
39.20,9.42,8.00,27.25,3460.02
39.20,7.28,8.80,27.25,3543.05
39.55,7.28,8.80,26.64,3567.24
39.55,5.14,8.80,26.64,3627.36
39.55,11.56,21.60,26.64,6291.14
39.55,13.70,23.60,26.64,6886.51
39.55,15.84,23.60,26.64,8388.18
39.55,20.12,22.40,26.64,7953.77
39.55,15.84,22.80,26.64,8613.96
39.55,13.70,21.60,26.64,9022.09
39.55,13.70,22.40,27.25,9262.72
39.55,15.84,22.80,27.25,9350.57
39.55,15.84,22.40,27.25,9199.98
39.55,13.70,21.60,27.25,9020.76
39.55,13.70,21.60,27.25,9467.89
39.55,13.70,21.60,27.25,9380.71
39.55,13.70,21.60,27.25,9858.82
39.55,13.70,23.60,27.25,9326.32
39.55,13.70,23.60,27.25,9708.50
39.55,13.70,23.60,27.25,8789.86
39.55,13.70,23.60,27.25,10319.89
39.55,15.84,23.60,27.25,10290.35
39.55,13.70,23.60,27.86,9177.88
39.55,15.84,23.60,27.86,8697.31
39.55,15.84,23.60,27.86,9723.94
39.55,13.70,23.60,27.86,9674.69
39.55,15.84,23.60,27.86,9995.86
39.55,15.84,23.60,27.86,9935.74
39.55,15.84,23.60,27.86,10347.84
39.55,15.84,23.60,27.86,9930.90
39.55,15.84,24.40,27.86,9960.03
39.55,17.98,24.40,27.86,9513.57
39.55,17.98,24.40,27.86,9716.21
39.55,13.70,24.40,27.86,10109.94
39.55,13.70,24.40,27.86,10238.64
39.55,13.70,24.40,27.86,10140.13
39.55,15.84,23.60,27.86,10226.65
39.55,13.70,23.60,27.25,10509.75
39.55,13.70,23.60,27.25,9958.41
39.55,15.84,24.40,27.25,8857.37
39.55,15.84,24.80,27.25,9272.56
39.55,15.84,25.60,27.86,9429.91
39.55,17.98,25.60,27.25,9380.71
39.20,15.84,25.60,27.25,9024.76
39.20,15.84,24.40,27.25,9694.64
39.20,15.84,22.80,27.25,9363.46
39.20,15.84,22.40,27.25,9319.21
39.20,13.70,22.40,27.25,9488.47
39.20,11.56,22.40,27.86,9553.72
39.20,11.56,22.40,27.86,9873.15
39.20,15.84,22.80,27.25,9968.15
39.20,15.84,23.60,27.25,10606.40
39.20,13.70,23.60,27.86,10163.73
39.55,13.70,24.40,27.86,9719.30
39.55,15.84,25.60,27.86,9586.68
39.55,17.98,26.80,27.25,10624.84
39.55,15.84,26.80,27.25,11091.40
39.55,17.98,26.80,27.86,10177.27
39.55,17.98,26.80,27.86,10285.16
39.20,15.84,26.80,27.86,10488.11
39.20,15.84,26.80,27.25,10602.72
39.20,15.84,26.80,27.86,10335.59
39.20,17.98,25.60,27.86,9916.40
39.20,15.84,24.40,27.86,9819.23
39.20,13.70,25.60,27.86,10106.60
39.20,17.98,25.60,27.86,10354.85
39.20,20.12,26.80,27.25,10680.53
39.20,20.12,25.60,27.25,10094.91
39.20,17.98,24.40,27.25,9828.70
39.20,15.84,23.60,27.25,9494.36
39.20,15.84,23.60,27.25,9448.86
39.20,15.84,23.60,27.25,9650.25
39.20,17.98,23.60,27.25,9789.35
39.20,15.84,23.60,27.25,9765.89
39.20,15.84,24.40,27.25,10121.66
39.20,13.70,26.40,26.64,10628.53
39.20,13.70,25.60,26.64,10617.46
39.20,15.84,26.80,27.25,11258.92
39.20,17.98,27.60,27.25,11405.99
39.20,17.98,27.60,27.25,11250.63
39.20,17.98,28.80,27.25,11367.81
39.20,17.98,28.80,26.64,10520.60
39.20,20.12,27.60,26.64,10768.97
39.20,20.12,27.60,26.64,10661.90
39.20,17.98,27.60,27.25,10347.84
39.20,15.84,26.80,27.25,10354.85
39.20,17.98,25.60,27.25,10393.59
39.20,17.98,25.60,27.25,10434.40
39.20,17.98,25.60,27.25,10613.77
39.20,17.98,27.60,27.25,11085.36
39.20,20.12,28.80,27.25,11420.91
39.20,20.12,28.80,26.64,11395.36
39.20,20.12,25.60,26.64,10212.98
39.20,17.98,26.80,26.64,10337.34
39.20,17.98,25.60,26.64,9897.13
39.20,17.98,25.60,26.64,9947.06
39.20,15.84,25.60,26.64,9950.30
39.20,15.84,25.60,27.25,9947.06
39.20,15.84,26.80,27.25,10558.77
39.20,15.84,27.60,27.25,10589.86
39.20,17.98,27.60,26.64,10753.82
39.20,20.12,28.80,26.64,11051.29
39.20,17.98,28.80,26.64,11057.29
39.20,15.84,28.80,27.25,10862.75
39.20,17.98,28.80,27.25,10909.28
39.20,17.98,28.80,26.64,10872.41
39.20,20.12,30.00,26.64,10621.15
39.20,17.98,28.80,26.64,10402.43
39.20,15.84,26.80,26.64,9989.33
39.20,15.84,26.80,26.64,9754.98
39.20,15.84,25.60,26.64,9558.20
39.20,15.84,25.60,26.64,9369.21
39.20,17.98,25.60,26.64,9360.60
39.20,15.84,25.60,26.64,9497.31
39.20,15.84,25.60,26.64,9390.80
39.20,17.98,26.80,26.64,9659.40
39.20,20.12,27.60,26.64,9865.19
39.20,20.12,24.80,26.64,9286.64
39.20,17.98,22.40,26.64,8847.11
39.20,15.84,22.80,26.03,8808.86
39.20,15.84,22.80,26.03,8812.67
39.20,13.70,22.80,26.03,8856.08
39.20,11.56,22.80,26.03,8902.52
39.20,13.70,22.80,25.42,8983.64
39.20,15.84,22.80,25.42,8925.92
39.20,15.84,22.80,26.03,8938.97
39.20,13.70,22.80,26.03,8974.41
39.20,13.70,23.60,26.64,9212.46
39.20,11.56,22.40,26.64,9043.45
39.20,13.70,23.60,26.64,9153.14
39.20,15.84,25.60,26.03,9418.29
39.20,13.70,22.40,26.03,8868.93
39.20,13.70,23.60,26.03,9275.37
39.20,13.70,23.60,26.03,9222.19
39.20,15.84,23.60,26.03,9191.68
39.20,13.70,22.80,26.03,9173.75
39.20,11.56,23.60,26.03,9241.71
39.20,13.70,23.60,26.03,9209.69
39.20,15.84,23.60,26.03,9220.80
39.20,15.84,23.60,26.03,9187.54
39.20,15.84,22.80,26.03,9153.14
39.20,15.84,23.60,26.03,9213.85
39.20,13.70,21.60,25.42,8813.94
39.20,15.84,23.60,26.03,9265.53
39.20,15.84,22.80,26.03,8954.69
39.20,15.84,22.40,26.03,8969.14
39.20,13.70,22.80,26.03,8994.22
39.20,13.70,22.40,26.03,8928.53
39.20,13.70,22.40,26.03,9110.85
39.20,13.70,24.40,26.03,9219.41
39.20,13.70,24.40,26.03,9456.17
39.20,13.70,24.40,26.03,9532.86
39.20,15.84,24.80,26.03,9567.18
39.20,15.84,24.40,26.03,9512.09
39.20,15.84,23.60,26.03,9319.21
39.20,15.84,24.40,26.03,9369.21
39.20,17.98,24.40,26.03,9489.94
39.20,17.98,23.60,26.03,9121.73
39.20,15.84,23.60,26.03,9281.00
39.20,13.70,23.60,26.03,9199.98
39.20,13.70,23.60,26.03,9236.13
39.20,13.70,23.60,26.03,9183.40
39.20,11.56,23.60,26.03,9208.30
39.20,13.70,23.60,26.03,9202.75
39.20,13.70,23.60,26.03,9188.92
39.20,13.70,22.40,26.03,8910.31
39.20,11.56,8.80,26.03,4779.47
39.20,5.14,8.80,26.03,4562.23
39.20,5.14,8.80,26.03,4317.02
39.20,5.14,8.80,26.03,3979.99
39.55,5.14,8.80,26.03,3768.48
39.55,5.14,8.80,26.03,3711.27
39.55,5.14,8.80,26.03,3688.21
39.55,7.28,8.80,26.03,3613.21
39.55,7.28,7.60,25.42,3264.34
39.55,7.28,6.00,26.03,2570.75
39.55,3.00,6.80,27.25,2682.79
39.55,3.00,13.60,27.86,4449.96
39.55,7.28,20.80,27.86,5914.91
39.55,15.84,32.40,27.86,9742.54
39.20,26.54,44.80,27.86,14937.61
39.20,32.96,63.20,27.86,18295.33
38.85,45.80,87.20,27.86,20854.55
38.15,86.46,100.00,27.86,22944.71
37.10,127.12,100.00,28.46,22571.90
36.40,142.10,100.00,28.46,22235.25
35.70,139.96,100.00,28.46,22970.57
35.00,129.26,100.00,28.46,23321.13
